Texto: é aécio brasil #aéciopresidentedobrasil #estamoscomaécio #deusémaior #vitóriavem #fé #souaécio, previsto: -1, real: 1
Texto: fortaleza manifestação contra reforma previdência terceirização, previsto: 0, real: -1
Texto: cidades têm protestos contra reforma previdência terceirização, previsto: 0, real: -1
Texto: temer possivelmente medo povo descubra propostas reforma previdência terceirização iguais dilma, previsto: -1, real: 0
Texto: cnbb critica terceirização reforma previdência nota pública edvamcombrcnbbcriticat erceirizacaoereformadaprevidenciaemnotapublica pictwittercomxgjedrrdi, previsto: -1, real: 0
Texto: ação tornou réu ª vez lula tirou povo r$ bilhões filho levasse r$ milhões oemquesetornoureupelavezhtml#wcuvfbobtqytwitter, previsto: -1, real: 0
Texto: datenaoficial perguntou sobre golpe sobre ferro população terceirização reforma previdência, previsto: 0, real: -1
Texto: sintraf participa evento paulo discutir ações contra reforma previdência terceirização, previsto: 0, real: -1
Texto: é surreal ter todos ex presidentes país envolvidos enriquecimento ilícito ser dilma todos, previsto: -1, real: 0
Texto: querendo dar dilma lula personalidade, previsto: 0, real: -1
Texto: faltava moro ser suspeito lula injustiçado, previsto: 0, real: 1
Texto: temer pezão picciani manifestação rj contra reforma previdência terceirização chega agora cinelândia pictwittercomnjdixivv, previsto: 0, real: -1
Texto: dilma emergiu esgoto defender ditaduras socialistas atacadas trump mopennywisemonstruosadilmahtml, previsto: 0, real: -1
Texto: greve geral contra reforma previdência terceirização mobiliza movimentos sociais bemestaredafelicidadeblogspotcombrparque augustareformadaprevidenciahtml #senado #congresso #poderpictwittercomznaexne, previsto: -1, real: 0
Texto: brasil fortaleza manifestação contra reforma previdência terceirização #repórterhoras, previsto: 0, real: -1
Texto: brasil livre consegue opor reforma previdência terceirização etc então devia continuar casa precisa faturar, previsto: -1, real: 0
Texto: teto gastos + terceirização demandam reforma previdência é discurso, previsto: 0, real: -1
Texto: governos lula dilma dilapidaram cofres públicos beneficiando empresários, previsto: 0, real: -1
Texto: mbl convoca manifestação vergonhosa história brasil pautacelebração terceirização defesa reforma previdência pictwittercomtcpliwzri, previsto: 0, real: -1
Texto: resistência paulo contra reforma previdência terceirização, previsto: 0, real: -1
