username,tweet,review
BastidoresMidia,"URGENTE. O BRASIL VAI PARAR CONTRA A TERCEIRIZAÇÃO , REFORMA DA PREVIDÊNCIA , REFORMA TRABALHISTA E MALDADES DO... http://fb.me/1kT5Smg07",0
josetomazfilho,"Vigarista lulopetista -anunciou saída do PT enojado com a corrupção, mas continua lá- Paim é contra terceirização , reforma da previdência ...",-1
VigaRodrigo,"Terceirização , reforma da previdência , reforma trabalhista. Quando empresários e governo vão ajudar a dividar a conta ???",0
apyus,"Só de contratos da Odebrecht, Lula teria sido o destino de mais de R$ 200 milhões em valores indevidos https://buff.ly/2x1Ltwj",0
andrcolett,"Transposição do rio São Francisco, reforma do ensino médio/ da previdência , operação carne fraca, terceirização ... Enem vai bombar esse ano",0
cristina_diniz9,@CamaraDeputados Este maldito governo acaba em 18 meses. E quem votar a favor da terceirização e reforma da previdência não volta,-1
alexmuds,"Você ainda tem coragem de falar, Ameba Neves???",-1
karolfarias_,o povo tá nas ruas lutando contra a reforma da previdência e a terceirização . o que temer faz? >> sanciona a... http://fb.me/1U9eabRXD,0
josesaoleopoldo,"Paralisação geral dia 31 de março!!! Contra a lei da terceirização , contra a reforma da ... http://fb.me/6bMgimlgG",0
JosLuizBezerra1,Dilma passadena vai te colocar na cadeia. Vc tem muito mas dinheiro escondido que Gedel.....,0
philippemdeiros,"Aula de ecommerce caiu no discurso  reforma da previdência é algo bom e terceirização faz todo sentido"" pic.twitter.com/gkxp9daDCy""",0
VictoorAugustoo,Via @estadao : Manifestantes protestam em capitais do País contra reforma da Previdência e terceirização - http:/ln.is/estadao.com.brb29w1 …,0
ivanxitara10,#terceirização muito bom agora falta a reforma trabalhista e da Previdencia . e acabar com o imposto sindical obrigatorio.,1
brasil247,Defesa de Lula vai recorrer de decisão do STJ contra parecer da procuradora | Brasil 247https:/www.brasil247.com/pt/247/brasil318563Defesa-de-Lula-vai-recorrer-de-decis%C3%A3o-do-STJ-contra-parecer-da-procuradora.htm … via @brasil247,0
MCCNacional,Dilma defendia terceirização quando estava no governo. Assim como defendia uma reforma da previdência e um teto... http://fb.me/1eTUAkLcL,0
CristyCostaC,Não era esse mesmo traste que ameaçou a nação com uma guerra se lula e dilma fossem condenados? O que ele fez? Nada!,-1
O_Fluminense,CNBB critica reforma da Previdência e lei que libera terceirização . Detalhes em http:www.ofluminense.com.br/pt-br/atualidadescnbb-critica-reforma-da-previdência-e-lei-que-libera-terceirização … #OFLUpic.twitter.comjjDtjFntzG,0
artfcmn,"mas foi no governo dilma em 2013 ne, é que ele ta falando que o PT foi o partido que mais promoveu a integração etc mas nao foi bem assim n",0
gomes_anamaria,"Lula ameaçando ganhar as eleições, generais ameaçando tomar o poder, Temer no poder...nunca mais esse país se levanta.",-1
ZehChe,o @AeroNeves ? Tranquilo e ainda tirando onda no @AecioNaCadeia,1
agenciabrasil,Deputados criticam aprovação da Lei da Terceirização ; ministro defende reforma http://bit.ly/2oyUaX0,0
PanichiRaphael,"Concordo, para Presidente Bernardes Após acusações de Palocci PT diz que candidatura de Lula é 'opção irrevogável' https://oglobo.globo.com/brasil/apos-ac usacoes-de-palocci-pt-diz-que-candidatura-de-lula-opcao-irrevogavel-21859480 …",0
lfsandoval,"Por que não do Lula, da Dilma e da Gleisi ???Se a Venezuela der calote, a conta será dos contribuintes brasileiros http://www1.folha.uol.com.br/colunas/raquellandim/2017/09/1920729-se-a-venezuela-der-calote-a-conta-sera-dos-contribuintes-brasileiros.shtml?utm_source=twitter&utm_medium=social&utm_campaign=comptw …",0
anamari64884245,Todos os estados e o DF têm protestos contra reforma da Previdência e terceirização http://g1.globo.com/politica/noticia/cidades-tem-protestos-contra-reforma-da-previdencia-e-terceirizacao.ghtml?utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=share-bar …,0
lcrive,"Tirar Temer sem que Lula DilmaPT sejam punidos significa que eles são inocentes diante do povão e têm mais chances de voltar, #LulaNaCadeia",-1
geraldosales02,"Esse pilantra falou q era só tirar a Dilma q o Brasil ia melhorar,se fudeu",-1
ChatoCaio,"A CUT é a central única dos trabalhadores, esses que serão os maiores afetados pela reforma da previdência e terceirização meu caro.",-1
cassiavel,Não a Reforma da Previdência Não a Terceirização . Sim a Reforma dos salários dos políticos Salários mínimos para... http://fb.me/11Ph28kG4,-1
neuwahlz0r,"cara logico q vai agregar primeiro vc sabe que a lei da terceirização , reforma da previdencia e reforma trabalhista sao coisas distintas ne",1
l3l3ck4,Tem gente a favor da Terceirização e da Reforma da Previdência .... não estranho serem a favor da volta da escravidão também!!! https://twitter.com/br_palmieri/status/845290041542955008 …,-1
LucioCCosta,Relator nega recurso da defesa de Lula sobre parcialidade do juiz Sérgio Moro http://ift.tt/2yi3547,0
malutognai,"Governo ilegítimo de Temer se curvou a Trump, afirma Dilma - Portal Vermelho http:/www.m.vermelho.org.br/noticia302159 -1#.WcKxZIz7FCI.twitter …",0
